算法标注的字图片统计如下：
range_0_85_to_0_90：表示accuracy在[0.85,0.90)区间的个数
range_0_90_to_0_95：表示accuracy在[0.90,0.95)区间的个数
range_0_95_to_1：表示accuracy在[0.95,1]区间的个数

 char  | range_0_85_to_0_90 | range_0_90_to_0_95 | range_0_95_to_1 
  藐   |                211 |                348 |            2231
  㝵   |                125 |                483 |            2185
  句   |                 96 |                273 |            2184
  母   |                  5 |                 10 |            2173
  立   |                228 |                708 |            2167
  形   |                 40 |                109 |            2135
  體   |                 35 |                104 |            2132
  雜   |                 17 |                 33 |            2122
  獲   |                154 |                403 |            2059
  論   |                134 |                349 |            2047
  使   |                447 |               1069 |            2010
  貪   |                411 |                952 |            2003
  號   |                 11 |                 29 |            1998
  勸   |                 21 |                 59 |            1993
  音   |                442 |                986 |            1988
  慶   |                 33 |                 52 |            1867
  初   |                354 |                885 |            1835
  造   |                 25 |                 58 |            1810
  偈   |                 83 |                256 |            1800
  往   |                365 |                873 |            1788
  放   |                 40 |                 87 |            1787
  吾   |                 39 |                 87 |            1785
  致   |                 20 |                 51 |            1782
  減   |                 10 |                 15 |            1765
  輪   |                609 |               1178 |            1756
  決   |                 11 |                 10 |            1732
  品   |                 48 |                157 |            1729
  頭   |                 33 |                 70 |            1726
  坐   |                355 |                698 |            1696
  蓋   |                  7 |                 21 |            1673
  調   |                159 |                333 |            1668
  父   |                  5 |                  6 |            1651
  疾   |                 98 |                247 |            1611
  熟   |                 15 |                 34 |            1606
  目   |                 12 |                 26 |            1595
  歸   |                117 |                280 |            1595
  超   |                 12 |                 55 |            1527
  賢   |                185 |                441 |            1502
  莫   |                 13 |                 18 |            1480
  間   |                 26 |                 71 |            1478
  猶   |                490 |                835 |            1471
  勇   |                 51 |                 87 |            1470
  剛   |                 80 |                195 |            1444
  寶   |               2449 |               3776 |            1427
  加   |                 49 |                137 |            1412
  毀   |                 97 |                213 |            1406
  將   |                 34 |                 77 |            1386
  瞋   |                306 |                726 |            1375
  那   |               1018 |               1667 |            1374
  顯   |                186 |                449 |            1344
  變   |               1037 |               1907 |            1315
  遣   |                  3 |                  8 |            1295
  差   |                217 |                418 |            1294
  愚   |                252 |                557 |            1272
  優   |                  8 |                 10 |            1268
  棄   |                 67 |                121 |            1257
  藥   |                193 |                423 |            1242
  服   |                123 |                296 |            1231
  顚   |                 41 |                 81 |            1211
  乎   |                 17 |                 40 |            1205
  葉   |                293 |                621 |            1201
  宿   |                104 |                279 |            1188
  林   |                 14 |                 44 |            1184
  要   |                 13 |                 43 |            1174
  遊   |                138 |                337 |            1164
      |                 40 |                 73 |            1159
  山   |                378 |               1300 |            1158
  猛   |                 89 |                260 |            1151
  特   |                 59 |                120 |            1132
  廣   |               1209 |               2126 |            1087
  歲   |                  4 |                 15 |            1084
  器   |                  6 |                 14 |            1083
  樓   |                 22 |                 75 |            1081
  請   |                 38 |                 85 |            1077
  詣   |                112 |                263 |            1070
  輕   |                  5 |                 12 |            1057
  燒   |                 16 |                 40 |            1055
  友   |                 12 |                 38 |            1038
  窮   |                  3 |                  7 |            1019
  仁   |                 21 |                 44 |            1009
  忘   |                512 |               1106 |             998
  希   |                 43 |                 95 |             972
  岸   |                  3 |                  8 |             953
  異   |               2079 |               2786 |             947
  薀   |                  5 |                  1 |             946
  焰   |                 37 |                 71 |             945
  東   |                 41 |                 65 |             939
  倍   |                 14 |                 30 |             923
  檀   |                126 |                281 |             921
  逸   |                 16 |                 60 |             875
  勢   |                 23 |                 44 |             873
  穢   |                 32 |                 52 |             872
  書   |                227 |                432 |             861
  幻   |                437 |               1091 |             857
  厭   |                168 |                346 |             857
  才   |                  2 |                 13 |             851
  掌   |                 92 |                262 |             840
  補   |                 58 |                131 |             820
  乾   |                 21 |                 65 |             818
  網   |                 32 |                 94 |             812
  殿   |                 19 |                 25 |             807
  瓔   |                  5 |                  9 |             800
  易   |                  8 |                 15 |             792
  殑   |                  0 |                  5 |             782
  資   |                 34 |                 98 |             781
  頌   |                 19 |                 63 |             781
  曉   |                 21 |                 49 |             777
  照   |                367 |                498 |             771
  普   |                968 |               1429 |             763
  充   |                 27 |                 51 |             762
  諍   |                 99 |                265 |             760
  太   |                 39 |                105 |             759
  竭   |                  5 |                  9 |             751
  絕   |                 11 |                 13 |             747
  積   |                 99 |                225 |             746
  秘   |                  8 |                 14 |             740
  場   |                  8 |                 24 |             737
  毒   |                147 |                328 |             724
  珍   |                 51 |                146 |             719
  柔   |                 18 |                 50 |             710
  室   |                 18 |                 23 |             710
  愁   |                341 |                763 |             709
  瞿   |                 17 |                 52 |             700
  卷   |                 55 |                 98 |             688
  蘊   |                 26 |                 42 |             688
  珞   |                 13 |                 36 |             680
  塗   |                  8 |                 45 |             679
  逝   |                 71 |                150 |             678
  鬘   |                 22 |                 43 |             659
  慳   |                 18 |                 44 |             651
  繞   |                  9 |                 27 |             645
  譯   |                 41 |                 92 |             638
  臣   |                 63 |                133 |             636
  擧   |                 28 |                 75 |             621
  氣   |                 66 |                181 |             612
  鬼   |                363 |                917 |             610
  寧   |                  7 |                 14 |             604
  污   |                 26 |                 58 |             595
  緊   |                  5 |                 10 |             586
  豈   |                 11 |                 14 |             586
  誦   |                706 |               1085 |             584
  究   |                334 |                848 |             583
  狹   |                  9 |                 12 |             580
  幡   |                 85 |                168 |             568
  略   |                  2 |                  2 |             565
  苾   |                  5 |                 10 |             560
  殺   |                 28 |                 41 |             551
  仰   |                 13 |                 16 |             551
  假   |                538 |                860 |             545
  矣   |                 31 |                 56 |             540
  泥   |                138 |                350 |             524
  巍   |                  1 |                  7 |             524
  池   |                 33 |                 70 |             520
  適   |                  6 |                 34 |             519
  摠   |                 51 |                 63 |             515
  讚   |               1066 |               1348 |             511
  輩   |                 27 |                 61 |             507
  儒   |                  5 |                 16 |             506
  遮   |                 95 |                191 |             506
  細   |                 93 |                225 |             497
  伎   |                 70 |                158 |             491
  渴   |                 38 |                 65 |             481
  迹   |                 14 |                 46 |             476
  奉   |                528 |                818 |             473
  賊   |                 13 |                 33 |             473
  奇   |                 32 |                132 |             467
  闇   |                 75 |                195 |             466
  肉   |                 72 |                168 |             465
  怠   |                 51 |                131 |             464
  勞   |                 48 |                131 |             460
  塞   |                  8 |                 39 |             456
  手   |                382 |                924 |             455
  逆   |                 36 |                 74 |             445
  悟   |                 85 |                177 |             441
  短   |                  5 |                  2 |             439
  懈   |                134 |                290 |             436
  杖   |                  0 |                  0 |             435
  狀   |                 13 |                 15 |             434
  黑   |                 23 |                 35 |             432
  測   |                  1 |                  2 |             430
  夷   |                 23 |                 53 |             428
  摧   |                 10 |                 30 |             422
  野   |                 12 |                 42 |             420
  心   |               9587 |              10907 |             420
  晝   |                 14 |                 38 |             420
  濁   |                 64 |                171 |             416
  誑   |                 43 |                110 |             415
  望   |                 21 |                 43 |             414
  屈   |                 25 |                 51 |             409
  軍   |                 19 |                 42 |             405
  翼   |                  3 |                  3 |             403
  牀   |                 10 |                 29 |             396
  强   |                 16 |                 22 |             395
  忿   |                  1 |                  1 |             395
  劣   |                 43 |                 89 |             393
  健   |                  3 |                  0 |             387
  冑   |                  6 |                 10 |             386
  怖   |                487 |                881 |             385
  田   |                 83 |                186 |             383
  備   |                 17 |                 20 |             371
  膝   |                  5 |                  3 |             370
  値   |                 62 |                129 |             367
  吹   |                  0 |                  2 |             367
  禁   |                 65 |                147 |             364
  拜   |                  5 |                 19 |             363
  娛   |                  4 |                  4 |             363
  奮   |                  3 |                  9 |             359
  栴   |                 43 |                 97 |             358
  浴   |                  1 |                  1 |             357
  反   |                 51 |                139 |             355
  纏   |                  3 |                 14 |             352
  芻   |                 67 |                 94 |             351
  旋   |                  5 |                 19 |             344
  任   |                 41 |                 92 |             339
  鳥   |                 40 |                115 |             337
  蛇   |                  3 |                  3 |             332
  飛   |                 19 |                 39 |             330
  顏   |                  3 |                 11 |             328
  傍   |                 19 |                 27 |             328
