算法标注的字图片统计如下：
range_0_85_to_0_90：表示accuracy在[0.85,0.90)区间的个数
range_0_90_to_0_95：表示accuracy在[0.90,0.95)区间的个数
range_0_95_to_1：表示accuracy在[0.95,1]区间的个数

 char  | range_0_85_to_0_90 | range_0_90_to_0_95 | range_0_95_to_1 
  麑   |                  1 |                  0 |               0
  危   |                 81 |                  0 |               0
  燈   |                107 |                  0 |               0
  爪   |                 84 |                  0 |               0
  俁   |                  5 |                  0 |               0
  甕   |                 10 |                  0 |               0
  歒   |                  4 |                  7 |               0
  凡   |                118 |                  0 |               0
  蚑   |                 20 |                  0 |               0
  笞   |                  5 |                  0 |               0
  黮   |                  6 |                  0 |               0
  創   |                  5 |                  3 |               0
  拍   |                 23 |                  0 |               0
  工   |                 88 |                 36 |               0
  探   |                 19 |                  0 |               0
  棓   |                  6 |                  0 |               0
  薜   |                 50 |                  1 |               0
  廏   |                  6 |                  0 |               0
  考   |                 14 |                  0 |               0
  爽   |                  6 |                  0 |               0
  從   |                525 |                  0 |               0
  茹   |                  7 |                  0 |               0
  擻   |                  1 |                  0 |               0
  壹   |                 10 |                  0 |               0
  估   |                  4 |                  4 |               0
  棘   |                 70 |                 12 |               0
  豺   |                 23 |                  0 |               0
  裸   |                 58 |                  0 |               0
  麾   |                  5 |                  0 |               0
  娠   |                 12 |                  0 |               0
  挹   |                  8 |                  0 |               0
  催   |                  6 |                  0 |               0
  戮   |                 58 |                  0 |               0
  琬   |                  1 |                  0 |               0
  諛   |                 89 |                 34 |               0
  每   |                127 |                  0 |               0
  半   |                192 |                 37 |               0
  遷   |                102 |                 22 |               0
  曨   |                  1 |                  0 |               0
  誨   |                132 |                 34 |               0
  幔   |                 40 |                  0 |               0
  激   |                 22 |                  0 |               0
  涅   |                616 |                  0 |               0
  烈   |                 21 |                  0 |               0
  蜜   |                667 |                  0 |               0
  謂   |               2623 |                280 |               0
  荅   |                 77 |                  0 |               0
  貴   |                174 |                 26 |               0
  谷   |                103 |                  0 |               0
  杌   |                 17 |                  0 |               0
  樞   |                 12 |                  0 |               0
  藝   |                 77 |                 12 |               0
  罰   |                 95 |                 15 |               0
  係   |                 35 |                  0 |               0
  窒   |                  9 |                  0 |               0
  餳   |                  1 |                  0 |               0
  眛   |                  1 |                  0 |               0
  捕   |                 34 |                  0 |               0
  住   |              10321 |               1580 |               0
  封   |                 58 |                  9 |               0
  字   |                163 |                  0 |               0
  隅   |                  4 |                  6 |               0
  挮   |                  3 |                  0 |               0
  憊   |                  1 |                  0 |               0
  蓄   |                  8 |                  0 |               0
  妙   |               2660 |                585 |               0
  縷   |                 55 |                  0 |               0
  吁   |                  5 |                  0 |               0
  礓   |                  1 |                  0 |               0
  偸   |                 70 |                 14 |               0
  率   |                 55 |                  0 |               0
  鍛   |                  5 |                  0 |               0
  禿   |                 19 |                  0 |               0
  掔   |                  1 |                  0 |               0
  玷   |                  1 |                  0 |               0
  楚   |                103 |                  0 |               0
  迥   |                 27 |                  0 |               0
  筆   |                 31 |                  0 |               0
  玩   |                 43 |                  0 |               0
  鴦   |                 93 |                  2 |               0
  馱   |                 87 |                  0 |               0
  嚚   |                  8 |                  3 |               0
  疊   |                 48 |                  0 |               0
  吃   |                  6 |                  0 |               0
  信   |                417 |                  0 |               0
  馬   |                113 |                  0 |               0
  承   |                 96 |                  0 |               0
  羹   |                  5 |                  0 |               0
  膽   |                  7 |                  8 |               0
  噓   |                 23 |                  0 |               0
  躡   |                 14 |                  0 |               0
  鑑   |                 27 |                  0 |               0
  咃   |                 14 |                  0 |               0
  琨   |                  1 |                  0 |               0
  賃   |                 22 |                  0 |               0
  阜   |                 23 |                  0 |               0
  神   |                451 |                  0 |               0
  隖   |                  1 |                  0 |               0
  腥   |                  6 |                  0 |               0
  摜   |                  1 |                  0 |               0
  漚   |                 50 |                  0 |               0
  寵   |                  2 |                  0 |               0
  賴   |                 93 |                 12 |               0
  漢   |                476 |                  0 |               0
  限   |                 95 |                  0 |               0
  衝   |                 11 |                  0 |               0
  哆   |                 45 |                  0 |               0
  鑛   |                 12 |                  1 |               0
  迎   |                113 |                  0 |               0
  痍   |                  6 |                  0 |               0
  掘   |                 37 |                  0 |               0
  邂   |                  1 |                  0 |               0
  倉   |                 61 |                  0 |               0
  悢   |                  5 |                  0 |               0
  抧   |                 22 |                  0 |               0
  癃   |                  9 |                  0 |               0
  子   |                607 |                  0 |               0
  玼   |                  7 |                  0 |               0
  鬽   |                  1 |                  0 |               0
  跟   |                 26 |                  0 |               0
  蝎   |                 42 |                  0 |               0
  遵   |                119 |                 17 |               0
  瑰   |                 16 |                  8 |               0
  棒   |                  8 |                  0 |               0
  㲲   |                 36 |                  0 |               0
  稷   |                  7 |                  0 |               0
  餬   |                  1 |                  0 |               0
  癢   |                  1 |                  0 |               0
  坦   |                 62 |                 18 |               0
  貳   |                  6 |                  0 |               0
  潛   |                 36 |                  0 |               0
  肌   |                 53 |                  0 |               0
  穆   |                 11 |                  0 |               0
  窌   |                  1 |                  0 |               0
  驕   |                  5 |                  2 |               0
  緹   |                  6 |                  0 |               0
  鞭   |                 79 |                  5 |               0
  矇   |                 12 |                  0 |               0
  帙   |                  6 |                  0 |               0
  悋   |                160 |                 66 |               0
  躄   |                 84 |                  2 |               0
  篨   |                  1 |                  0 |               0
  于   |                 88 |                  0 |               0
  謝   |                 82 |                 10 |               0
  儀   |                 91 |                  0 |               0
  江   |                 95 |                  0 |               0
  搋   |                  6 |                  0 |               0
  亥   |                 56 |                  1 |               0
  齊   |                 83 |                  0 |               0
  爭   |                 43 |                  0 |               0
  察   |                186 |                  0 |               0
  就   |                556 |                  0 |               0
  慣   |                  4 |                  0 |               0
  脈   |                 75 |                  0 |               0
  珮   |                  9 |                  0 |               0
  纔   |                 31 |                  0 |               0
  輸   |                170 |                  0 |               0
  旦   |                 68 |                 19 |               0
  謔   |                  5 |                  0 |               0
  郵   |                  1 |                  0 |               0
  綢   |                  1 |                  0 |               0
  浪   |                 62 |                  0 |               0
  綬   |                  6 |                  0 |               0
  漩   |                  5 |                  0 |               0
  惻   |                 24 |                  0 |               0
  零   |                 18 |                  0 |               0
  噤   |                  6 |                  0 |               0
  鼙   |                  1 |                  0 |               0
  沸   |                 24 |                  0 |               0
  徘   |                  5 |                  0 |               0
  渡   |                 68 |                  0 |               0
  肝   |                 34 |                  0 |               0
  防   |                114 |                  0 |               0
  皺   |                  6 |                  7 |               0
  松   |                  8 |                  0 |               0
  刖   |                  6 |                  0 |               0
  挫   |                  6 |                  0 |               0
  皓   |                  8 |                  0 |               0
  敏   |                 64 |                  0 |               0
  笑   |                116 |                  0 |               0
  琉   |                131 |                  0 |               0
  步   |                 51 |                  0 |               0
  跋   |                121 |                  0 |               0
  髮   |                 96 |                  0 |               0
  瘦   |                104 |                 24 |               0
  黔   |                  6 |                  0 |               0
  侶   |                 96 |                  0 |               0
  絲   |                 38 |                  0 |               0
  恌   |                  3 |                  0 |               0
  實   |                717 |                  0 |               0
  罕   |                 14 |                  0 |               0
  夢   |                112 |                  0 |               0
  納   |                 82 |                  0 |               0
  革   |                 44 |                  0 |               0
  獻   |                164 |                  0 |               0
  粟   |                 48 |                  0 |               0
  鈿   |                  5 |                  0 |               0
  麤   |                128 |                  0 |               0
  欬   |                 17 |                  0 |               0
  筌   |                  6 |                  0 |               0
  岨   |                  4 |                  0 |               0
  踊   |                159 |                  0 |               0
  侍   |                123 |                  0 |               0
  臘   |                  4 |                  0 |               0
  判   |                 40 |                  0 |               0
  㸌   |                 16 |                  0 |               0
  躅   |                  8 |                  0 |               0
  擁   |                139 |                 16 |               0
  潦   |                 18 |                  0 |               0
  劓   |                 10 |                  0 |               0
  囚   |                 45 |                  5 |               0
  咬   |                  1 |                  0 |               0
  存   |                309 |                  0 |               0
  僂   |                 19 |                  0 |               0
  素   |                309 |                  0 |               0
  鉾   |                 16 |                  0 |               0
  坂   |                  3 |                  0 |               0
  窴   |                  1 |                  0 |               0
  跨   |                 10 |                  0 |               0
  升   |                 50 |                  0 |               0
  酥   |                 88 |                 12 |               0
  稗   |                 29 |                  0 |               0
  揀   |                  1 |                  0 |               0
  科   |                  7 |                  0 |               0
  鴟   |                 11 |                  8 |               0
  螫   |                 33 |                  0 |               0
  蛟   |                  3 |                  0 |               0
  該   |                 12 |                  0 |               0
  暖   |                 26 |                  0 |               0
  康   |                 39 |                  0 |               0
  竊   |                105 |                  0 |               0
  先   |                127 |                  0 |               0
  膿   |                 73 |                  0 |               0
  畀   |                  4 |                  6 |               0
  駃   |                 34 |                  0 |               0
  湛   |                 35 |                  0 |               0
  暐   |                  5 |                  0 |               0
  譁   |                  6 |                  0 |               0
  駝   |                 37 |                  0 |               0
  祟   |                  1 |                  0 |               0
  祝   |                 29 |                  0 |               0
  竈   |                  9 |                  0 |               0
  跳   |                 24 |                  0 |               0
  編   |                 24 |                  0 |               0
  軌   |                 46 |                  0 |               0
  焉   |                181 |                  0 |               0
  枕   |                 29 |                  0 |               0
  銜   |                 18 |                  0 |               0
  較   |                 15 |                  0 |               0
  陣   |                 67 |                  0 |               0
  滑   |                 79 |                  0 |               0
  狄   |                  4 |                  0 |               0
  駐   |                  1 |                  0 |               0
  腸   |                 42 |                  0 |               0
  墓   |                 22 |                  0 |               0
  丑   |                 12 |                  0 |               0
  騫   |                  8 |                  0 |               0
  遑   |                 12 |                  0 |               0
  陪   |                  4 |                  0 |               0
  傑   |                  9 |                  0 |               0
  逐   |                112 |                 50 |               0
  徐   |                 93 |                  0 |               0
  陁   |               3256 |                621 |               0
  宛   |                 58 |                  0 |               0
  瑿   |                  5 |                  0 |               0
  厘   |                  1 |                  0 |               0
  滌   |                 21 |                  0 |               0
  庸   |                 15 |                  0 |               0
  匠   |                 47 |                  3 |               0
  撫   |                 30 |                  0 |               0
  驗   |                 41 |                  0 |               0
  裵   |                 16 |                  0 |               0
  童   |                217 |                  0 |               0
  閡   |                 54 |                 15 |               0
  內   |               2913 |                118 |               0
  公   |                 21 |                  0 |               0
  績   |                  5 |                  0 |               0
  禍   |                130 |                  0 |               0
  畿   |                  1 |                  0 |               0
  屑   |                 13 |                  0 |               0
  棗   |                 22 |                  0 |               0
  疆   |                 16 |                  1 |               0
  卍   |                 11 |                  0 |               0
  鍾   |                 45 |                  0 |               0
  季   |                  6 |                  0 |               0
  束   |                 35 |                  0 |               0
  推   |                 93 |                 30 |               0
  暫   |                112 |                  3 |               0
  賣   |                112 |                 10 |               0
  悶   |                173 |                  0 |               0
  觝   |                  3 |                  0 |               0
  阻   |                  1 |                 13 |               0
  迺   |                  8 |                  0 |               0
  俛   |                  4 |                  0 |               0
  顙   |                  7 |                  0 |               0
  椎   |                 29 |                  0 |               0
  駕   |                 62 |                  0 |               0
  伊   |                 69 |                  0 |               0
  冬   |                 44 |                  0 |               0
  答   |                397 |                  0 |               0
  懟   |                  4 |                  0 |               0
  轂   |                  9 |                  1 |               0
  甘   |                114 |                  0 |               0
  圄   |                 11 |                  0 |               0
  尖   |                  6 |                  0 |               0
  膳   |                124 |                  5 |               0
  飼   |                  8 |                  0 |               0
  沓   |                102 |                  0 |               0
  獷   |                 87 |                  3 |               0
  溝   |                 56 |                  0 |               0
  猿   |                 15 |                  0 |               0
  離   |               1986 |                 55 |               0
  匿   |                 89 |                 26 |               0
  奸   |                 60 |                  0 |               0
  拇   |                 49 |                  0 |               0
  熾   |                128 |                  0 |               0
  机   |                 21 |                  0 |               0
  為   |                  8 |                  0 |               0
  棚   |                  7 |                  7 |               0
  撿   |                 46 |                  0 |               0
  貫   |                111 |                  0 |               0
  驃   |                  3 |                  0 |               0
  嫁   |                 10 |                  0 |               0
  打   |                100 |                  0 |               0
  板   |                 33 |                  0 |               0
  綴   |                 11 |                  0 |               0
  闐   |                 58 |                  3 |               0
  撰   |                 26 |                  0 |               0
  帷   |                 10 |                  0 |               0
  賤   |                 69 |                  0 |               0
  志   |                115 |                  0 |               0
  俾   |                  2 |                  0 |               0
  帚   |                  4 |                  0 |               0
  策   |                 86 |                  0 |               0
  窗   |                 47 |                  0 |               0
  噢   |                  1 |                  0 |               0
  裂   |                 76 |                  0 |               0
  磧   |                  1 |                  0 |               0
  的   |                 11 |                  0 |               0
  玓   |                  1 |                  0 |               0
  班   |                 89 |                 15 |               0
  憂   |                406 |                  0 |               0
  鶊   |                  1 |                  0 |               0
  遶   |                104 |                  0 |               0
  舡   |                 12 |                  0 |               0
  摶   |                 31 |                  0 |               0
  窺   |                 10 |                  0 |               0
  裹   |                 54 |                  0 |               0
  垣   |                 36 |                  0 |               0
  坤   |                 16 |                  0 |               0
  欠   |                 30 |                  0 |               0
      |                 19 |                  0 |               0
  授   |                171 |                  0 |               0
  蒼   |                 13 |                  0 |               0
  呂   |                  3 |                  0 |               0
  秩   |                  1 |                  0 |               0
  挺   |                 12 |                  0 |               0
  鞞   |                109 |                 30 |               0
  舁   |                  7 |                  0 |               0
  扙   |                  8 |                  0 |               0
  排   |                 13 |                  0 |               0
  后   |                154 |                  0 |               0
  脣   |                 49 |                  0 |               0
  坏   |                 27 |                  0 |               0
  硏   |                  5 |                 10 |               0
  鑄   |                  8 |                  1 |               0
  產   |                 84 |                 26 |               0
  姑   |                  6 |                  2 |               0
  惺   |                  6 |                  0 |               0
  湫   |                 17 |                  0 |               0
  括   |                  9 |                  0 |               0
  鈆   |                  5 |                  0 |               0
  蘭   |                 60 |                  0 |               0
  揵   |                143 |                 51 |               0
  祁   |                  8 |                  0 |               0
  隨   |               2467 |                206 |               0
  糜   |                 40 |                  0 |               0
  泛   |                 13 |                  0 |               0
  壬   |                 19 |                  0 |               0
  縮   |                 35 |                  0 |               0
  乖   |                 65 |                  0 |               0
  嵩   |                  7 |                  0 |               0
  便   |                517 |                  0 |               0
  珂   |                 97 |                  0 |               0
  玄   |                 59 |                  0 |               0
  妒   |                 75 |                  0 |               0
  爨   |                  1 |                  0 |               0
  這   |                 58 |                  0 |               0
  沐   |                 42 |                  0 |               0
  蜱   |                  6 |                  0 |               0
  燎   |                 13 |                  0 |               0
  徒   |                 67 |                  0 |               0
  電   |                 95 |                  3 |               0
  篩   |                  1 |                  0 |               0
  朝   |                186 |                  0 |               0
  嗥   |                  8 |                  0 |               0
  衒   |                 15 |                  0 |               0
  扈   |                  6 |                  0 |               0
  范   |                  1 |                  0 |               0
  艾   |                  2 |                  0 |               0
  嘖   |                  5 |                  0 |               0
  癘   |                 24 |                  0 |               0
  克   |                 10 |                  0 |               0
  恊   |                  1 |                  0 |               0
  慟   |                 36 |                  0 |               0
  押   |                 35 |                  0 |               0
  豹   |                  5 |                 12 |               0
  題   |                 28 |                  0 |               0
  弭   |                 31 |                  0 |               0
  鴛   |                 44 |                  0 |               0
  惶   |                 77 |                 21 |               0
  付   |                142 |                  0 |               0
  狩   |                  7 |                  0 |               0
  振   |                 70 |                  0 |               0
  嘍   |                 17 |                  0 |               0
  蜺   |                  4 |                  0 |               0
  侜   |                  1 |                  0 |               0
  俫   |                  1 |                  0 |               0
  晩   |                  5 |                  5 |               0
  燕   |                 10 |                  5 |               0
  篋   |                 62 |                  0 |               0
  椑   |                  1 |                  0 |               0
  槊   |                 42 |                  0 |               0
  裳   |                 41 |                  0 |               0
  違   |                351 |                118 |               0
  戈   |                 16 |                  0 |               0
  腎   |                 21 |                  0 |               0
  慼   |                101 |                 24 |               0
  捷   |                 45 |                  0 |               0
  刈   |                 15 |                  0 |               0
  鵝   |                 53 |                  0 |               0
  籍   |                 47 |                  0 |               0
  髦   |                  7 |                  0 |               0
  梨   |                 90 |                  0 |               0
  懸   |                108 |                 29 |               0
  邀   |                  4 |                  0 |               0
  式   |                 75 |                  0 |               0
  臏   |                  5 |                  0 |               0
  瞑   |                  7 |                  0 |               0
  底   |                 99 |                  0 |               0
  貧   |                106 |                  0 |               0
  驍   |                  1 |                  0 |               0
  千   |                521 |                  0 |               0
  仚   |                  5 |                  0 |               0
  鴨   |                  3 |                  0 |               0
  涸   |                 37 |                  0 |               0
  材   |                  6 |                 10 |               0
  髻   |                 77 |                  8 |               0
  歰   |                  8 |                  0 |               0
  私   |                 98 |                  0 |               0
  潘   |                  8 |                  0 |               0
  算   |                 81 |                  7 |               0
  胸   |                 80 |                 23 |               0
  螺   |                101 |                  0 |               0
  萄   |                  8 |                  0 |               0
  撩   |                  8 |                  0 |               0
  廛   |                 13 |                  0 |               0
  喩   |                143 |                  0 |               0
  貯   |                 52 |                  0 |               0
  氍   |                  6 |                  0 |               0
  戴   |                 89 |                 29 |               0
  輟   |                  5 |                  0 |               0
  院   |                 29 |                  0 |               0
  迫   |                 63 |                  0 |               0
  彫   |                 26 |                  0 |               0
  笮   |                  4 |                  0 |               0
  隱   |                186 |                  0 |               0
  擊   |                 68 |                  0 |               0
  殆   |                 18 |                  0 |               0
  靺   |                  1 |                  0 |               0
  箄   |                  1 |                  0 |               0
  炙   |                 40 |                  0 |               0
  腐   |                 47 |                  0 |               0
  雌   |                 10 |                  0 |               0
  魁   |                 20 |                  0 |               0
  頓   |                105 |                 24 |               0
  物   |                125 |                  0 |               0
  憋   |                 15 |                  0 |               0
  腫   |                  5 |                 12 |               0
      |                 41 |                  0 |               0
  䶩   |                  8 |                  0 |               0
  淤   |                 58 |                  0 |               0
  筒   |                  6 |                  0 |               0
  秖   |                  4 |                  0 |               0
  穬   |                  9 |                 12 |               0
  恣   |                 68 |                  0 |               0
  部   |                120 |                  0 |               0
  頂   |                166 |                  0 |               0
  演   |                134 |                  0 |               0
  朔   |                  9 |                  0 |               0
  亹   |                  6 |                  0 |               0
  肅   |                 74 |                  1 |               0
  專   |                215 |                 49 |               0
  儛   |                 43 |                  0 |               0
  捺   |                 60 |                  0 |               0
  欺   |                142 |                 66 |               0
  奪   |                 97 |                  0 |               0
  訣   |                  9 |                  0 |               0
  噬   |                  7 |                  0 |               0
  繚   |                  6 |                  0 |               0
  截   |                119 |                 43 |               0
  稚   |                 37 |                  0 |               0
  仼   |                  7 |                  0 |               0
  茵   |                 20 |                  0 |               0
  瘂   |                 73 |                  0 |               0
  豆   |                 59 |                  2 |               0
  運   |                109 |                  0 |               0
  陛   |                 32 |                  0 |               0
  官   |                103 |                  0 |               0
  拄   |                 42 |                  0 |               0
  售   |                  9 |                  0 |               0
  斕   |                  1 |                  0 |               0
  爰   |                 20 |                  0 |               0
  鉋   |                  1 |                  0 |               0
  陂   |                 86 |                  0 |               0
  屋   |                139 |                  0 |               0
  匹   |                 36 |                  0 |               0
  絺   |                 33 |                  0 |               0
  勳   |                105 |                  4 |               0
  偏   |                126 |                  0 |               0
  麰   |                  1 |                  0 |               0
  珀   |                 59 |                 12 |               0
  孽   |                  7 |                  0 |               0
  挾   |                  7 |                  0 |               0
  雞   |                 71 |                  1 |               0
  旅   |                 18 |                  0 |               0
  栰   |                 21 |                  0 |               0
  悖   |                 10 |                  0 |               0
  嗢   |                 20 |                  0 |               0
  訴   |                  6 |                  2 |               0
  忠   |                 33 |                  0 |               0
  輒   |                 97 |                  3 |               0
  潰   |                 10 |                  0 |               0
  寞   |                 72 |                  0 |               0
  膜   |                 22 |                  0 |               0
  擐   |                224 |                  0 |               0
  矚   |                  6 |                  0 |               0
  拱   |                 22 |                  0 |               0
  佐   |                 58 |                  0 |               0
  繁   |                 80 |                  2 |               0
  徵   |                 29 |                  0 |               0
  茲   |                125 |                  0 |               0
  綜   |                 19 |                  0 |               0
  參   |                 48 |                  0 |               0
  規   |                 27 |                  0 |               0
  犛   |                  6 |                  0 |               0
  酢   |                 13 |                  0 |               0
  侚   |                  8 |                  0 |               0
  祠   |                126 |                  0 |               0
  撚   |                  1 |                  0 |               0
  很   |                 25 |                  0 |               0
  庇   |                  4 |                  0 |               0
  表   |                129 |                  0 |               0
  鼠   |                 36 |                  0 |               0
  韋   |                 44 |                  0 |               0
  垓   |                  9 |                  0 |               0
  斜   |                 18 |                  0 |               0
  坡   |                  6 |                  0 |               0
  播   |                  6 |                  5 |               0
  弔   |                  1 |                  0 |               0
  錫   |                 15 |                  0 |               0
  落   |                 88 |                  0 |               0
  婦   |                130 |                 11 |               0
  瘀   |                 18 |                  0 |               0
  惚   |                 31 |                  0 |               0
  藶   |                  6 |                  4 |               0
  巷   |                 73 |                  0 |               0
  篾   |                  5 |                  0 |               0
  侏   |                  1 |                  0 |               0
  晴   |                  4 |                  0 |               0
  棺   |                 69 |                  1 |               0
  險   |                103 |                 83 |               0
  蔽   |                184 |                 53 |               0
  保   |                124 |                  0 |               0
  㧗   |                 28 |                  0 |               0
  痟   |                  3 |                  0 |               0
  睟   |                  1 |                  0 |               0
  及   |                443 |                  0 |               0
  茅   |                 12 |                  0 |               0
  須   |               2248 |                245 |               0
  徑   |                126 |                  0 |               0
  校   |                 42 |                  0 |               0
  飜   |                  9 |                  3 |               0
  荔   |                 43 |                  0 |               0
  烝   |                  4 |                  0 |               0
  栽   |                 66 |                  0 |               0
  駿   |                  5 |                  6 |               0
  睫   |                 17 |                  0 |               0
  月   |                514 |                  0 |               0
  早   |                 57 |                  0 |               0
  吟   |                 21 |                  0 |               0
  械   |                 24 |                  0 |               0
      |                  5 |                  0 |               0
  箕   |                 34 |                  0 |               0
  弩   |                  9 |                  0 |               0
  洒   |                  6 |                  0 |               0
  客   |                159 |                  0 |               0
  辟   |                310 |                 98 |               0
  赦   |                 36 |                  0 |               0
  胃   |                 47 |                  1 |               0
  鎚   |                  6 |                  0 |               0
  蓰   |                  5 |                  0 |               0
  訖   |                 94 |                 45 |               0
  虜   |                  5 |                  0 |               0
  自   |               1107 |                  0 |               0
  惔   |                 25 |                  0 |               0
  滯   |                132 |                  0 |               0
  鼉   |                 10 |                  0 |               0
  篌   |                 53 |                  0 |               0
  鷄   |                 36 |                  0 |               0
  鈸   |                  5 |                  0 |               0
  滓   |                 43 |                  0 |               0
  悤   |                 34 |                  0 |               0
  冤   |                 28 |                  0 |               0
  默   |                167 |                 30 |               0
  癖   |                  4 |                  0 |               0
  揭   |                102 |                  0 |               0
  逗   |                 25 |                  0 |               0
  笥   |                  2 |                  0 |               0
  悚   |                 22 |                  0 |               0
  廩   |                  5 |                  0 |               0
  鄰   |                117 |                  1 |               0
  薑   |                  5 |                  0 |               0
  澒   |                  1 |                  0 |               0
  迭   |                 71 |                  0 |               0
  霞   |                  6 |                  0 |               0
  柳   |                 33 |                  0 |               0
  環   |                 70 |                  2 |               0
  熿   |                  1 |                  0 |               0
  治   |                125 |                  0 |               0
  恢   |                 24 |                  0 |               0
  瑪   |                 13 |                  0 |               0
  姻   |                 10 |                  0 |               0
  豪   |                101 |                  5 |               0
  酸   |                 27 |                  0 |               0
  倖   |                  8 |                  0 |               0
  騙   |                  1 |                  0 |               0
  金   |                798 |                  0 |               0
  觸   |               1305 |                 11 |               0
  身   |               2339 |                  5 |               0
  脹   |                 30 |                  0 |               0
  甎   |                  1 |                  0 |               0
  佞   |                 18 |                  0 |               0
  哽   |                 48 |                  0 |               0
  髓   |                 96 |                 29 |               0
  塹   |                 57 |                  1 |               0
  伐   |                 78 |                  0 |               0
  掐   |                 23 |                  0 |               0
  蔾   |                  7 |                  0 |               0
  繩   |                 98 |                  6 |               0
  感   |                 91 |                  0 |               0
  族   |                107 |                  0 |               0
  嘶   |                  8 |                  0 |               0
  頹   |                  7 |                  0 |               0
  獘   |                  1 |                  0 |               0
  㘓   |                  2 |                  0 |               0
  蔚   |                  5 |                  0 |               0
  蠟   |                  6 |                  0 |               0
  蚩   |                  3 |                  0 |               0
  刷   |                  5 |                  0 |               0
  函   |                 38 |                  0 |               0
  洋   |                 20 |                  0 |               0
